Name-AP,Time,Frekuensi(Ghz),Clients,Channels,Configured-Rate,Usage-Traffic(GB),Throughput(Bytes),Transmit-Power(dBm),Noise,Channel-Utilization,Interference,Traffic,Air-Quality
AP-F1-Dasar-2,15:40,5,0,161,"Min 6 Mbps, Max  289 Mbps",23,20000,23,-98,0.0300,0.0300,0.0000,99
AP-F1-1-2,15:40,"2,4",0,4,"Min 1 Mbps, Max  217 Mbps",24,23000,20,-98,0.3500,0.3400,0.0100,94
AP-F1-1-2,15:40,5,0,161,"Min 6 Mbps, Max  289 Mbps",31,30000,23,-98,0.0500,0.0500,0.0000,99
AP-F1-2-4-Lab.KomputerTE,15:40,"2,4",0,4,"Min 1 Mbps, Max  289 Mbps",7,8000,17,-89,0.1100,0.0400,0.0700,none
AP-F1-2-4-Lab.KomputerTE,15:40,5,0,157,"Min 6 Mbps, Max  289 Mbps",28,10000,20,-93,0.0400,0.0300,0.0100,none
AP-F1-2-3-R.KuliahTE,15:40,"2,4",0,8,"Min 1 Mbps, Max  289 Mbps",18,5000,17,-87,0.2100,0.1500,0.0600,none
AP-F1-2-3-R.KuliahTE,15:40,5,0,149,"Min 6 Mbps, Max  289 Mbps",33,17000,20,-92,0.0400,0.0300,0.0100,none
AP-F1-1-1-3-R.105,15:50,"2,4",0,13,"Min 1 Mbps, Max  289 Mbps",13,259,17,-94,0.1400,0.0900,0.0500,none
AP-F1-1-1-3-R.105,15:50,5,0,149,"Min 6 Mbps, Max  289 Mbps",18,1000,20,-92,0.0600,0.0600,0.0000,none
AP-F1-Dasar,15:50,"2,4",1,4,"Min 1 Mbps, Max  217 Mbps",21,19000,18,-93,0.2700,0.2400,0.0300,99
AP-F1-Dasar,15:50,5,0,149,"Min 6 Mbps, Max  217 Mbps",11,995,23,-90,0.0000,0.0000,0.0000,100
AP-F1-2,15:50,"2,4",0,9,"Min 1 Mbps, Max  289 Mbps",20,42000,20,-99,0.6700,0.6500,0.0200,96
AP-F1-2,15:50,5,0,161,"Min 6 Mbps, Max  289 Mbps",27,22000,23,-98,0.0000,0.0000,0.0000,99
AP-F1-2-2,15:50,"2,4",0,1,"Min 1 Mbps, Max  217 Mbps",29,22000,20,-93,0.6400,0.6200,0.0200,99
AP-F1-2-2,15:50,5,0,153,"Min 6 Mbps, Max  289 Mbps",6,87,23,-94,0.0000,0.0000,0.0000,99
AP-F1-1,15:50,"2,4",0,1,"Min 1 Mbps, Max  217 Mbps",29,16000,18,-91,0.4400,0.4200,0.0200,99
AP-F1-1,15:50,5,0,161,"Min 6 Mbps, Max  217 Mbps",21,6000,23,-92,0.0100,0.0100,0.0000,100
AP-F1-Dasar-2,15:50,"2,4",0,1,"Min 1 Mbps, Max  217 Mbps",38,23000,20,-99,0.5400,0.5100,0.0300,99
AP-F1-Dasar-2,15:50,5,0,161,"Min 6 Mbps, Max  289 Mbps",23,20000,23,-98,0.0300,0.0300,0.0000,99
AP-F1-1-2,15:50,"2,4",0,4,"Min 1 Mbps, Max  217 Mbps",24,9000,20,-88,0.5800,0.5700,0.0100,94
AP-F1-1-2,15:50,5,0,161,"Min 6 Mbps, Max  289 Mbps",31,30000,23,-98,0.0500,0.0500,0.0000,99
AP-F1-2-4-Lab.KomputerTE,15:50,"2,4",0,4,"Min 1 Mbps, Max  289 Mbps",7,5000,17,-90,0.1400,0.0500,0.0900,none
AP-F1-2-4-Lab.KomputerTE,15:50,5,0,157,"Min 6 Mbps, Max  289 Mbps",28,8000,20,-93,0.0400,0.0300,0.0100,none
AP-F1-2-3-R.KuliahTE,15:50,"2,4",2,8,"Min 1 Mbps, Max  289 Mbps",18,3000,17,-90,0.1800,0.1000,0.0800,none
AP-F1-2-3-R.KuliahTE,15:50,5,1,149,"Min 6 Mbps, Max  289 Mbps",33,20000,20,-92,0.0300,0.0200,0.0100,none
